source	target
Q9UNE7	Q9Y4K3
P62906	Q00839
P62906	Q9NQC7
P62906	Q5S007
P62906	Q15910
P62906	Q92731
P62906	Q93034
P62906	Q92905
P62906	Q9H0R8
P62906	P63104
P62906	Q7Z6Z7
P62906	Q99714
P62906	Q86VP6
P62906	Q7KZN9
P62906	Q9NRC8
P62906	P68104
P62906	Q99496
P62906	Q6NUN9
P62906	Q13619
P62906	Q96EB6
P62906	Q12905
P62906	Q9H0W5
P62906	Q07020
P62906	Q13618
P62906	Q12906
P62906	Q13148
P62906	Q9UQL6
P62906	Q9UBX2
P62906	Q9BV73
P62906	Q5QNW6
P62906	Q504Q3
P62906	Q14999
P62906	Q96QD9
P62906	Q14258
P62906	Q9UKV8
P62906	Q7L2Z9
P62906	Q13616
P62906	Q00987
P62906	Q15050
P62906	Q92734
P62906	Q15020
P62906	Q15843
P62906	Q86VM9
Q15910	Q99623
Q15910	Q9GZV8
Q15910	Q16695
Q15910	Q96EB6
Q15910	Q96ST3
Q15910	Q7Z6Z7
Q15910	Q16576
Q15910	Q16637
Q15910	Q9UKV8
Q15910	Q92769
Q15910	Q9Y297
Q15910	Q9UKB1
Q15910	Q93009
Q15910	Q96GN5
Q15910	Q6S8J3
Q15910	Q9Y2I6
Q15910	Q99496
Q15910	Q8IUQ4
Q15910	Q9BSM1
Q15910	Q92831
Q15366	Q9UJV9
Q15366	Q96AE4
Q15366	Q9BYX4
Q15366	Q9NQC7
Q15366	Q9NZI8
Q15366	Q9Y265
Q15366	Q9UBX2
Q15366	Q9H0R8
Q15366	Q9BV73
Q15366	Q9NRD1
Q15366	Q9Y230
Q15366	Q7Z434
Q15366	Q6IQ23
Q15366	Q9H0W5
Q15366	Q15717
Q15366	Q969P0
Q15366	Q6ZW49
Q15366	Q92905
Q15366	Q9UQL6
Q15366	Q99728
Q15366	Q99459
Q15366	Q7Z6Z7
Q08211	Q15020
Q08211	Q99459
Q08211	Q9H0W5
Q08211	Q14191
Q08211	Q9UJV9
