source	target
Q9Y6H6	Q9NS23
Q9Y6H6	P04406
Q9Y6H6	P68104
Q9Y6H6	Q9H3H3
Q15056	Q9H3H3
P46098	Q5T7M9
Q9NRI5	O14782
Q9NRI5	P07437
Q92478	P05067
P04259	O60341
Q96SW2	O14770
Q96SW2	Q9Y4K3
O00459	P07437
O00459	P60709
O00459	P68104
O00459	P05067
O14782	Q9H4B6
O14782	Q8IXZ2
O14782	Q99459
O14782	P25054
O14782	Q96EK5
Q8IXZ2	Q08380
Q5T7M9	Q9UGN5
P48454	Q01850
P48454	P05067
O14964	P07437
O14964	Q01850
O14964	Q08379
O14964	P25054
O14964	P05067
P02511	Q14790
P02511	P05067
Q9NS23	P07437
Q9NS23	O60341
P62736	P10398
P62736	Q9NYL9
P13056	O60341
Q9NYL9	O14770
Q14192	Q68DY1
Q14192	Q9Y4K3
Q14192	Q16666
O14770	Q9HAV0
O14770	P60709
O14770	P05067
O14770	Q13501
O14770	P15336
O14770	P62987
O14770	P08047
O14770	Q14258
P25101	P29992
P25101	Q92905
P25101	Q9H270
P19474	Q9UER7
O60341	Q99459
O60341	P25054
O60341	Q9H270
O60341	P05412
P05067	Q9Y4K3
P05067	P19419
P05067	P07339
P05067	P07437
P05067	Q16666
P38606	Q8NEY4
P38606	P07339
Q68DY1	Q02535
P07339	Q16666
P07339	P15313
Q14258	P29992
Q14258	Q9Y4K3
Q9Y6E0	Q8NEY4
Q9Y6E0	P07437
Q9H4B6	Q9NRA8
Q9HAV0	P29992
Q9UER7	Q86VW0
P19419	Q00534
Q16666	Q02535
Q16666	Q8NFH5
Q16666	Q5SY16
Q16666	P08047
P07437	Q92905
P07437	Q08380
P07437	Q9Y4K3
P07437	P04406
P07437	P60709
P07437	P05412
P07437	Q99459
P07437	P15336
Q8WXF8	Q00534
Q8WXF8	Q14790
Q9HD23	Q8TCT7
Q9HD23	Q5SY16
Q9HD23	P05412
P10398	Q96EK5
Q8NEY4	P36543
Q8NEY4	P15313
Q8NEY4	Q08379
Q8NEY4	Q9BQ95
P35080	Q86VW0
P35080	Q9Y4K3
Q13501	Q9Y4K3
Q01850	Q8TCT7
Q9NRA8	Q00534
Q9BQ95	Q9Y4K3
Q14790	Q9Y4K3
P62987	Q9Y4K3
O43187	Q86VW0
O43187	Q9Y4K3
P36543	Q9Y4K3
Q9Y4K3	P68104
