source	target
Q99729	Q9H0R8
Q99729	Q9HCE1
Q14790	Q92851
Q14790	Q9Y4K3
Q14790	Q8WXF8
Q9H0R8	Q9HCE1
Q9H0R8	Q9NS23
Q13501	Q13618
Q13501	Q14258
Q13501	Q9Y4K3
Q13501	Q9H0R8
Q13501	Q9Y5Q9
Q13501	Q9H4B6
Q13501	Q13616
Q13501	Q14790
Q13501	Q9HCE1
Q13501	Q16666
Q01844	Q9NS23
Q01844	Q86VP6
Q01844	Q99459
Q01844	Q92793
Q01844	Q13616
Q01844	Q93034
Q01844	Q15056
Q01844	Q92905
Q01844	Q9NRA8
Q01844	Q9H0R8
Q01844	Q13618
Q01844	Q15717
Q01844	Q99729
P02511	Q13547
P02511	P05067
P02511	Q14790
P46108	P60709
P46108	P68104
P63279	Q92905
P63279	Q9Y4K3
P63279	Q13547
P63279	Q92793
P63279	Q9UER7
P63279	Q8NFH5
P63279	Q08379
Q14258	Q93034
Q14258	Q9Y4K3
Q14258	Q8NBJ4
Q14258	Q92793
Q14258	Q86VP6
Q14258	Q8WWI5
Q14258	Q15717
Q14258	Q99729
Q13616	Q9Y4K3
Q13616	Q92905
Q13616	Q99459
Q13616	Q86VP6
Q13616	Q93034
Q13616	Q13618
Q13616	Q9NS23
Q13616	Q15717
Q13616	Q99729
Q8IXZ2	Q9HCE1
Q86VP6	Q9HCE1
Q86VP6	Q99459
Q86VP6	Q93034
Q86VP6	Q99729
Q86VP6	Q92905
Q13618	Q9H0R8
Q13618	Q9HCE1
Q13618	Q15717
Q13618	Q14790
Q13618	Q99459
Q13618	Q93034
Q13618	Q86VP6
Q13618	Q9UER7
Q13618	Q99729
Q13618	Q92905
Q13618	Q9H4B6
Q92905	Q9HCE1
Q92905	Q99459
Q92905	Q93034
Q92905	Q99729
P62736	Q92905
P62736	Q13616
P62736	Q92793
P62736	Q86VP6
P62736	Q9H0R8
P62736	Q13618
P60709	Q99729
P60709	Q13616
P60709	P68104
P60709	Q86VP6
P60709	Q93034
P60709	Q92905
P60709	Q9H0R8
P60709	Q08380
P60709	Q13618
P60709	Q99459
P60709	Q15717
Q92793	Q9NRA8
Q92793	Q9UER7
P49407	P60709
P49407	Q9Y496
P49407	Q9Y4K3
P49407	Q13618
Q99459	Q9H0R8
Q99459	Q9NRI5
P02751	Q01081
P02751	Q15056
P02751	Q08380
P02751	Q99729
P02751	P47897
P02751	Q01844
P02751	Q86VP6
P02751	P04406
P02751	Q15717
P02751	P07437
P02751	P68104
P02751	Q13547
P02751	P07339
P02751	P05067
P02751	P05412
P02751	P60709
P02751	P06396
Q08379	Q99459
Q08379	Q93034
Q08379	Q13227
Q08379	Q8NEY4
Q08379	Q9UER7
Q08379	Q9NRI5
Q9UER7	Q9Y5Q9
P38606	Q13618
P38606	Q8NEY4
P38606	Q15717
P38606	Q9UEU0
P25054	Q14258
P25054	Q9HAU0
P25054	Q9BRK4
P25054	P47897
P25054	Q01844
P25054	Q08379
P25054	Q9Y496
P25054	Q92905
P25054	Q92793
P25054	Q92845
P25054	Q9H4B6
Q14192	Q16666
Q14192	Q9Y4K3
Q14192	Q92793
Q14192	Q68DY1
Q14192	Q9UEU0
P19474	Q13501
P19474	P63279
P19474	Q13616
P19474	P60520
P19474	Q13547
P19474	Q9H0R8
P19474	P25054
P19474	Q9UER7
P19474	Q92793
P19474	Q99459
Q676U5	Q9H0R8
Q676U5	Q8WXF8
Q676U5	Q9HCE1
Q93034	Q99729
Q93034	Q9Y4K3
P68104	Q9Y6H6
P68104	Q9H0R8
P68104	Q9HCE1
P68104	Q9Y4K3
P68104	Q92905
P68104	Q86VP6
P68104	Q13616
P68104	Q13618
P68104	Q99459
P68104	Q14258
P68104	Q93034
P68104	Q14192
Q9NRI5	Q9Y496
Q15056	Q9HCE1
Q15056	Q9H3H3
P60520	Q13043
P60520	Q676U5
P60520	Q08380
P60520	Q01081
P60520	Q99459
P60520	Q13501
P60520	Q13618
P60520	Q9NS23
P60520	Q9H0R8
P60520	Q15717
P60520	P68104
P60520	P60709
P60520	P62736
P60520	Q01844
P60520	Q99729
P60520	Q9Y5Q9
P60520	Q9HCE1
Q15717	Q86VP6
Q15717	Q8WWI5
Q15717	Q9HAF1
Q15717	Q9H4B6
Q15717	Q92793
Q15717	Q96GN5
Q15717	Q676U5
Q15717	Q9H0R8
Q15717	Q99459
Q15717	Q93034
Q15717	Q9HAU0
Q15717	Q92905
Q08380	Q13616
Q08380	Q92905
Q08380	Q93034
Q08380	Q9H0R8
Q08380	Q8IXZ2
Q08380	Q86VP6
Q08380	Q13618
Q02952	Q13043
Q02952	Q92630
Q02952	Q9H4B6
Q96EK5	Q9Y496
Q96EK5	Q9H4B6
P47897	Q9HCE1
P47897	Q9Y6H6
P47897	Q13618
P47897	Q13616
P47897	Q9BRK4
P47897	Q9H4B6
Q9H4B6	Q9NRA8
Q9H4B6	Q9NS23
P04406	P60709
P04406	Q9Y6H6
P04406	Q13043
P04406	Q14258
P04406	Q92905
P04406	P05412
P04406	P68104
P04406	P60520
P04406	Q13616
P04406	P07437
P04406	P05067
P04406	Q86VP6
P04406	Q01844
P04406	Q9H0R8
P04406	Q99459
P04406	Q13618
P05067	Q9NUI1
P05067	Q9Y4K3
P05067	Q14258
P05067	Q9Y496
P05067	P05412
P05067	Q92630
P05067	P19419
P05067	Q92478
P05067	P60520
P05067	P07339
P05067	P07437
P05067	P47897
P05067	P60709
P05067	Q14192
P05067	P49407
P05067	Q676U5
P05067	Q92905
P05067	Q13618
P05067	P06396
P05067	Q8IXZ2
P05067	P63279
P05067	P48454
P05067	Q14790
P05067	Q16666
P07437	Q9NS23
P07437	Q08380
P07437	P49407
P07437	P46108
P07437	P60709
P07437	Q99459
P07437	P60520
P07437	Q9Y4K3
P07437	Q9NRI5
P07437	Q93034
P07437	Q92905
P07437	P68104
P07437	Q15717
P07437	Q86VP6
P07437	Q13618
P07437	Q9H0R8
P07437	Q13616
Q16666	Q8NFH5
Q16666	Q9HCE1
P01106	Q14258
P01106	P05067
P01106	Q00534
P01106	P60709
P01106	Q13547
P01106	Q15717
P01106	Q13616
P01106	P05412
P01106	P51532
P01106	Q01850
P01106	P07437
P01106	P02751
P01106	Q9Y5Q9
P01106	Q9NRA8
P01106	Q14192
P01106	Q96GN5
P01106	P03372
P01106	Q13501
P01106	Q92905
P01106	Q92793
P01106	P19474
Q5T3J3	Q9Y6H6
Q00534	Q14258
Q00534	Q9NRA8
Q00534	Q8WXF8
Q00534	Q15717
Q13547	Q99459
Q13547	Q9UER7
Q13547	Q9Y4K3
Q13547	Q92793
Q96GN5	Q9UER7
Q9H3H3	Q9Y6H6
P05412	P63279
P05412	P47897
P05412	Q92793
P05412	Q15717
P05412	Q99729
P05412	Q9HCE1
P05412	Q99459
P05412	P49407
P05412	P38606
P05412	P07437
P05412	Q9HAU0
P05412	Q92905
P05412	P60520
P05412	P62736
P05412	Q9HD23
P05412	Q93034
P05412	P68104
P05412	Q13547
P05412	P15313
P05412	Q14192
P05412	Q08379
P05412	P60709
P05412	Q01844
P05412	Q14258
P05412	Q92845
P05412	Q12840
P05412	P51532
P05412	Q86VP6
P51532	P60520
P51532	Q92905
P51532	Q99459
P51532	Q14258
P51532	Q86VP6
P51532	Q13547
P51532	P60709
P51532	Q16666
P51532	Q13618
P51532	Q9Y5Q9
P03372	Q5T3J3
P03372	P51532
P03372	Q14192
P03372	P05412
P03372	Q08379
P03372	Q14258
P03372	Q01844
P03372	P63279
P03372	P06396
P03372	Q92905
P03372	Q99729
P03372	Q9Y4K3
P03372	P13056
P03372	P04406
P03372	Q92793
P03372	Q13618
P03372	P60709
P03372	Q9HAV0
P03372	P07437
P03372	Q13547
P03372	Q13616
Q13043	Q93034
Q13043	Q13501
Q13043	Q9H4B6
Q13043	Q9UER7
Q13043	Q86VP6
Q13043	Q9NS23
Q13043	Q92630
Q13043	Q15717
Q13043	Q9H0R8
P06396	P49407
P06396	P35080
P06396	Q9H0R8
P06396	P60709
P06396	Q86VW0
P13056	Q13547
P13056	P51532
Q12840	Q9Y6H6
Q92630	Q9H4B6
Q92630	Q9BRK4
P19419	Q92793
P19419	Q13547
P19419	Q00534
P19419	Q02535
P19419	Q15717
P19419	Q92905
P19419	P63279
P19419	P46108
P19419	Q01844
P07339	P38606
P07339	Q93034
P07339	Q16666
P07339	P15313
P07339	Q9H0R8
P07339	Q14258
P48454	Q01850
Q01081	Q86VP6
Q01081	Q13616
Q01081	Q01844
Q01081	Q99459
Q01081	Q13618
O60341	P05412
O60341	Q9NS23
O60341	P04259
O60341	P03372
O60341	P13056
O60341	Q08379
O60341	P63279
O60341	P15313
O60341	P01106
O60341	Q13547
O60341	Q99459
O60341	P25054
Q9NS23	Q9UER7
Q9NS23	Q9Y6H6
P04259	Q92905
P04259	Q86VP6
P04259	P60520
P04259	P46108
P04259	Q13616
P04259	Q13618
P04259	Q01844
P04259	Q93034
P04259	Q9H0R8
P04259	Q08379
P15313	P38606
P15313	Q9UEU0
P15313	Q8NEY4
Q9HAU0	Q9Y496
Q92845	Q9NRI5
Q92845	Q9Y496
Q8WWI5	Q9Y6H6
Q02535	Q14192
Q02535	Q16666
Q02535	Q68DY1
P10398	P62736
P10398	Q96EK5
P09914	Q9HCE1
P09914	P51532
Q8NBJ4	Q9Y6H6
O14770	Q13501
O14770	P60709
O14770	Q9HAV0
O14770	Q14258
O14770	P05067
P25101	P49407
P25101	Q92905
P25101	P29992
Q13227	Q13547
Q13227	Q86VW0
Q13227	Q99459
P29992	Q15717
P29992	Q14258
P29992	Q9HAV0
P35080	Q9H0R8
P35080	Q14258
P35080	Q86VW0
P35080	P62736
P35080	P60520
P35080	Q9Y4K3
P35080	P68104
P35080	P60709
Q8WXF8	Q92851
Q8WXF8	Q99729
Q8WXF8	Q9Y5Q9
Q8WXF8	Q96GN5
Q8WWB7	Q9NUI1
O14964	P25054
O14964	P49407
O14964	P07437
O14964	Q01850
O14964	Q08379
O14964	P05067
O14964	Q9HCE1
O14964	P63279
Q5T7M9	Q8WWB7
O14782	Q99459
O14782	O15066
O14782	Q92845
O14782	Q8IXZ2
O14782	Q9NRI5
O14782	Q13043
O14782	Q96EK5
O14782	P25054
O14782	Q02952
O14782	Q9Y496
O14782	Q92630
O14782	Q9H4B6
O15066	Q92630
O15066	P25054
O15066	Q92845
O15066	Q9Y496
O15066	P05067
O15066	Q9HCE1
O15066	Q02952
O15066	Q9H4B6
O15066	Q96EK5
O15066	Q13043
O00459	Q9HCE1
O00459	P60709
O00459	Q08379
O00459	Q13618
O00459	P07437
O00459	P05067
O00459	P46108
O00459	P49407
O00459	P68104
O00459	Q13501
O00459	P03372
O43187	Q86VW0
O43187	P10398
O43187	Q14258
O43187	Q9Y4K3
O15519	Q92851
O15519	O75618
O15519	P06396
O15519	Q8WXF8
O15519	Q9UER7
O15519	P01106
O15519	Q14790
O43251	Q14258
O43251	P01106
O43251	Q15717
O43251	Q99729
O43251	Q13618
O43251	Q8WXF8
O43251	P03372
O43251	P25054
O75618	Q14258
O75618	Q14790
O75618	P05067
O75618	Q9Y5Q9
O75618	Q92851
O75618	Q8WXF8
Q86VW0	Q9UEU0
Q86VW0	Q9HAF1
Q86VW0	Q9HAU0
Q86VW0	Q9BRK4
Q86VW0	Q9NUI1
Q86VW0	Q9UER7
Q86VW0	Q96BR6
