source	target
Q9NUX5	Q9Y2W1
Q9NUX5	Q9UJU6
Q9NUX5	Q9Y266
Q9NUX5	Q9UI08
Q9NUX5	Q9NZN9
Q9NUX5	Q9UBS4
Q9NUX5	Q9UBB6
Q9NUX5	Q9UNF0
Q9NUX5	Q9NYB0
Q9NUX5	Q9Y5A9
Q9NUX5	Q9UNE7
Q9Y2W1	Q9Y383
Q9Y2W1	Q9Y6Y0
Q9Y2W1	Q9Y4K3
Q9Y2W1	Q9Y5S9
Q9Y2W1	Q9Y657
Q9Y2W1	Q9Y3B4
Q9UJU6	Q9Y2K6
Q9UJU6	Q9ULA0
Q9UJU6	Q9Y570
Q9Y266	Q9Y5Y2
Q9Y266	Q9Y490
Q9Y266	Q9Y5Z7
Q9Y266	Q9Y478
Q9Y266	Q9Y570
Q9Y266	Q9Y297
Q9UI08	Q9Y6W5
Q9NZN9	Q9Y5A7
Q9UBS4	Q9UL18
Q9UBS4	Q9UQL6
Q9UBS4	Q9Y4L1
Q9UBS4	Q9ULV4
Q9UBS4	Q9UNN5
Q9UBB6	Q9Y5U2
Q9UBB6	Q9Y2Q3
Q9UBB6	Q9Y312
Q9NYB0	Q9UNF0
Q9NYB0	Q9UQN3
Q9NYB0	Q9NZ63
Q9NYB0	Q9UKD2
Q9NYB0	Q9NZT2
Q9NYB0	Q9Y5U2
Q9NYB0	Q9UJU6
Q9NYB0	Q9Y6K1
Q9UNE7	Q9Y574
Q9UNE7	Q9UQ16
Q9UNE7	Q9Y4K3
Q9UNE7	Q9Y5Y2
Q9UNE7	Q9UPR3
Q9UNE7	Q9Y4B4
Q9UNE7	Q9Y2T1
Q9UNE7	Q9UQ80
P62633	Q99729
P62633	P62906
P62633	Q9UHA3
P62633	Q8IY81
P62633	Q9H8H2
P62633	Q7L2E3
P62633	Q96ME7
P62633	Q15366
P62633	Q08211
P62633	Q9H361
P62633	Q99873
P62633	Q15050
P62633	Q9Y3U8
P62633	Q9NWT1
P62633	Q9NR30
P62633	Q9UK17
P62633	Q99575
P62633	Q13310
P62633	Q9BUJ2
P62633	Q15397
P62633	Q9UNX3
P62633	P62910
P62633	P62750
P62633	Q07020
P62633	Q9H7E9
P62633	Q6DKI1
P62633	Q96GQ7
P62633	Q49A26
P62633	Q6PK04
P62633	Q9BWE0
P62633	Q16539
P62633	Q02878
P62633	Q9UGY1
P62633	Q9BRZ2
P62633	Q9H7B2
P62633	P62899
P62633	Q15022
P62633	Q9BZE4
P62633	Q9UET6
P62633	Q2TB10
P62633	Q504Q3
P62633	P62888
P62633	Q00577
P62633	Q9H9Y2
P62633	Q7Z2W4
P62633	Q96D46
P62633	Q8NDF8
P62633	Q9BXY0
P62633	P62913
P62633	P84090
P62633	Q13352
P62633	P62917
P62633	Q9NRW3
P62633	Q99848
P62633	Q9GZR7
P62633	Q13247
P62633	Q13823
P62633	P83731
P62633	Q9ULW3
P62633	Q9NW13
P62633	P62753
Q99729	Q9GZQ8
Q99729	Q9UJV9
Q99729	Q9HCE7
Q99729	Q9H0R8
Q99729	Q9Y297
Q99729	Q9NZ43
Q99729	Q9UBU9
Q99729	Q9C0B0
Q99729	Q9NRR4
Q99729	Q9Y2R9
Q99729	Q9H3D4
Q99729	Q9UKB1
Q99729	Q9Y6Y0
Q99729	Q9UKA9
Q99729	Q9Y676
Q99729	Q9C0C9
Q99729	Q9H492
Q99729	Q9GZS1
Q99729	Q9NQC7
P62906	Q00839
P62906	Q9UNL2
P62906	Q9NQX1
P62906	Q8N3Z6
P62906	P84098
P62906	Q9BZE4
P62906	Q96HE9
P62906	Q9NQC7
P62906	P62979
P62906	Q5S007
P62906	Q93034
P62906	Q96C28
P62906	Q92905
P62906	Q9H0R8
P62906	Q15397
P62906	P63104
P62906	Q7Z6Z7
P62906	Q5FBB7
P62906	Q14684
P62906	Q99714
P62906	Q13233
P62906	Q86VP6
P62906	Q7KZN9
P62906	Q9NRC8
P62906	P68104
P62906	Q76FK4
P62906	P83731
P62906	Q15696
P62906	P62913
P62906	Q02878
P62906	Q71UM5
P62906	Q6NUN9
P62906	Q8IXZ2
P62906	Q13619
P62906	Q96EB6
P62906	Q12905
P62906	Q9H0W5
P62906	Q07020
P62906	Q1ED39
P62906	Q9Y3U8
P62906	P62917
P62906	Q13618
P62906	Q96JB5
P62906	Q12906
P62906	Q15287
P62906	Q13148
P62906	Q9UQL6
P62906	Q99558
P62906	Q9UKD2
P62906	Q9BV73
P62906	Q504Q3
P62906	P63173
P62906	Q14999
P62906	Q96QD9
P62906	Q5T3I0
P62906	Q14258
P62906	Q969Q0
P62906	P68371
P62906	Q9UKV8
P62906	Q13616
P62906	Q00987
P62906	Q15050
P62906	Q92734
P62906	Q9UNX3
P62906	Q14872
P62906	Q15020
P62906	Q15843
P62906	P62910
P62906	Q7Z2W4
P62906	P63220
P62906	Q96GQ7
P62906	Q86VM9
Q9UHA3	Q9UJX2
Q9UHA3	Q9UKD2
Q8IY81	Q9UHB9
Q8IY81	Q96ME7
Q8IY81	Q969S3
Q8IY81	Q96A23
Q8IY81	Q96PK6
Q8IY81	Q9NR30
Q8IY81	Q96GA3
Q8IY81	Q9Y4C8
Q8IY81	Q92905
Q8IY81	Q96GQ7
Q8IY81	Q9H7B2
Q8IY81	Q9Y3B4
Q8IY81	Q9BVJ6
Q8IY81	Q9NQX1
Q8IY81	Q96HE9
Q8IY81	Q9UPE1
Q8IY81	Q92542
Q8IY81	Q99848
Q8IY81	Q9H6Y2
Q8IY81	Q9H074
Q8IY81	Q9Y4B6
Q8IY81	Q9NRC8
Q8IY81	Q9GZL7
Q8IY81	Q9ULW3
Q8IY81	Q9H0R8
Q8IY81	Q9BYG3
Q8IY81	Q9Y2X3
Q8IY81	Q9BXY0
Q8IY81	Q9BQG0
Q8IY81	Q9NY93
Q8IY81	Q9C0C9
Q8IY81	Q9UKD2
Q8IY81	Q9ULX3
Q8IY81	Q9UGY1
Q8IY81	Q9NQZ8
Q8IY81	Q99733
Q8IY81	Q99459
Q8IY81	Q9BXB1
Q8IY81	Q9Y3T9
Q8IY81	Q9GZR7
Q9H8H2	Q9UHB9
Q9H8H2	Q9UGY1
Q9H8H2	Q9NX70
Q9H8H2	Q9P0M6
Q9H8H2	Q9NRC8
Q9H8H2	Q9NP55
Q9H8H2	Q9UNX3
Q9H8H2	Q9Y3T9
Q9H8H2	Q9NQZ8
Q7L2E3	Q9BQG0
Q7L2E3	Q9H0W5
Q7L2E3	Q9BSG1
Q7L2E3	Q9NQZ8
Q7L2E3	Q9Y6Y0
Q7L2E3	Q9NZC7
Q7L2E3	Q96ST3
Q7L2E3	Q96A23
Q7L2E3	Q96HE9
Q7L2E3	Q7Z2W4
Q7L2E3	Q93034
Q7L2E3	Q9UNE7
Q7L2E3	Q9P2D0
Q7L2E3	Q8IZD2
Q7L2E3	Q9UL18
Q7L2E3	Q92905
Q7L2E3	Q9UKV8
Q7L2E3	Q9UBU9
Q7L2E3	Q9NRC8
Q7L2E3	Q96GX1
Q7L2E3	Q86VP6
Q7L2E3	Q9H0R8
Q7L2E3	Q9NQC7
Q7L2E3	Q9BTE3
Q96ME7	Q9BT49
Q96ME7	Q9UNX3
Q96ME7	Q9UGY1
Q96ME7	Q9H6S0
Q96ME7	Q9H6R4
Q96ME7	Q9H8H2
Q96ME7	Q9NRC8
Q96ME7	Q9GZR7
Q96ME7	Q9NVU7
Q96ME7	Q9UNX4
Q96ME7	Q9HAN9
Q96ME7	Q9Y3T9
Q96ME7	Q9NR30
Q96ME7	Q9BZE4
Q96ME7	Q9H0A0
Q96ME7	Q96PV6
Q96ME7	Q9H9Y2
Q15366	Q7L2J0
Q15366	Q9UJV9
Q15366	Q96EP5
Q15366	Q96AE4
Q15366	Q8N5F7
Q15366	Q99661
Q15366	Q9NQC7
Q15366	Q9Y265
Q15366	Q9H0R8
Q15366	Q92830
Q15366	Q9BV73
Q15366	Q96I24
Q15366	Q9NRD1
Q15366	Q9Y230
Q15366	Q7Z434
Q15366	Q92797
Q15366	Q96EK6
Q15366	Q96J02
Q15366	Q6IQ23
Q15366	Q9H0W5
Q15366	Q9P2I0
Q15366	Q9UKF6
Q15366	Q9BQA1
Q15366	Q9BPZ7
Q15366	Q15717
Q15366	Q15654
Q15366	Q96PU8
Q15366	Q969P0
Q15366	Q6ZW49
Q15366	Q92905
Q15366	Q9UQL6
Q15366	Q9BRX9
Q15366	Q9UL18
Q15366	Q99459
Q15366	Q7Z6Z7
Q15366	Q8IWS0
Q08211	Q15020
Q08211	Q99459
Q08211	Q9H0W5
Q08211	Q14191
Q08211	Q9UJV9
Q08211	Q7KZF4
Q08211	Q9NYL9
Q08211	Q9HA38
Q08211	Q13490
Q08211	Q96GG9
Q08211	Q92905
Q08211	Q9H492
Q08211	Q8WU20
Q08211	Q9H0R8
Q08211	Q13233
Q08211	Q9NZR1
Q08211	Q92841
Q08211	Q14244
Q08211	Q8IXI1
Q08211	Q86VP6
Q08211	Q15464
Q08211	Q99558
Q08211	Q9UPY3
Q08211	Q12905
Q08211	Q5T7N2
Q08211	Q9UBS0
Q08211	Q71U36
Q08211	Q9UBB5
Q08211	Q13617
Q08211	Q14999
Q08211	Q15843
Q08211	Q9NZC7
Q08211	Q9BVJ6
Q08211	Q13322
Q08211	Q14258
Q08211	Q8NE71
Q08211	Q96FV9
Q08211	Q9NRD1
Q08211	Q08945
Q08211	Q9UKV3
Q08211	Q9NX58
Q08211	Q49A26
Q08211	Q96RT1
Q08211	Q8IVM0
Q08211	Q9Y224
Q08211	Q9H4L7
Q08211	Q9BV73
Q08211	Q9BXJ9
Q08211	Q9NR22
Q08211	Q9UL18
Q08211	Q504Q3
Q08211	Q99873
Q08211	Q6I9Y2
Q08211	Q12906
Q08211	Q9NR30
Q08211	Q6NZI2
Q08211	Q9UHI6
Q08211	Q9UNM6
Q08211	Q15029
Q08211	Q9UQ35
Q08211	Q9NR56
Q08211	Q9Y6Y0
Q08211	Q9UNX3
Q08211	Q86V81
Q08211	Q12857
Q08211	Q9Y2W1
Q08211	Q9Y3I0
Q08211	Q86U42
Q08211	Q13813
Q08211	Q9UKM9
Q08211	Q13619
Q08211	Q13573
Q08211	Q9ULX6
Q08211	Q6NUN9
Q08211	Q9P032
Q08211	Q8IYW5
Q08211	Q9NQC7
Q08211	Q13151
Q08211	Q9Y5S9
Q08211	Q9UKV8
Q08211	Q8NI27
Q08211	Q13045
Q08211	Q9BXB1
Q08211	Q9UKB1
Q08211	Q15022
Q08211	Q14451
Q08211	Q6PJ61
Q08211	Q9BQ69
Q08211	Q15050
Q08211	Q6P2Q9
Q08211	Q8WX92
Q08211	Q92956
Q08211	Q9Y4K3
Q08211	Q13616
Q08211	Q9HAU4
Q08211	Q32MZ4
Q08211	Q9NZM3
Q08211	Q16629
Q08211	Q9GZQ8
Q08211	Q9Y446
Q08211	Q9UQ80
Q08211	Q15428
Q08211	Q9BXP5
Q08211	Q96BK5
Q08211	Q9UBU9
Q08211	Q14872
Q08211	Q14739
Q08211	Q96SB4
Q08211	Q9H3D4
Q08211	Q6PKG0
Q08211	Q9UPE1
Q08211	Q13153
Q08211	Q9HCE7
Q08211	Q92499
Q08211	Q13620
Q08211	Q7L2J0
Q08211	Q93034
Q08211	Q9UQL6
Q08211	Q8TDG4
Q08211	Q13148
Q08211	Q13618
Q08211	Q14764
Q08211	Q9BWF3
Q08211	Q93009
Q9H361	Q9NZR1
Q9H361	Q9UL18
Q9H361	Q9NZC7
Q99873	Q9Y3I1
Q99873	Q9UET6
Q99873	Q9NZ43
Q99873	Q9UER7
Q99873	Q9Y4E5
Q99873	Q9HCE7
Q99873	Q9UBU9
Q99873	Q9Y6Q9
Q99873	Q9NWQ4
Q99873	Q9BUJ2
Q99873	Q9Y4K3
Q99873	Q9UKE5
Q99873	Q9NY12
Q99873	Q99961
Q99873	Q9NR22
Q99873	Q9UBB5
Q99873	Q9UBL3
Q99873	Q9Y3R0
Q99873	Q9NQC7
Q99873	Q9HAU4
Q99873	Q9Y3C7
Q99873	Q9NYA1
Q99873	Q9UJ78
Q99873	Q9H0R8
Q99873	Q9NYF8
Q99873	Q9H4H8
Q99873	Q9BVC4
Q99873	Q9Y3Y2
Q99873	Q9UQL6
Q99873	Q9UBS0
Q99873	Q9H9Q2
Q15050	Q9BZE4
Q15050	Q9Y4C8
Q15050	Q96EY7
Q15050	Q92624
Q15050	Q9NRC8
Q15050	Q96D46
Q15050	Q9NX58
Q15050	Q96ME7
Q15050	Q9NYV4
Q15050	Q7L2E3
Q15050	Q9H2P0
Q15050	Q9Y3T9
Q15050	Q92665
Q15050	Q8IXZ2
Q15050	Q53GS7
Q15050	Q7Z2W4
Q15050	Q9BYG3
Q15050	Q92542
Q15050	Q9NR30
Q15050	Q49A26
Q15050	Q15427
Q15050	Q9NW08
Q15050	Q96HE9
Q15050	Q16666
Q15050	Q1ED39
Q15050	Q9NY93
Q15050	Q15397
Q15050	Q8WXA9
Q15050	Q8IY81
Q15050	Q5T3I0
Q15050	Q9BSG1
Q15050	Q9NVP1
Q15050	Q9NRW3
Q15050	Q9Y2X3
Q15050	Q96PK6
Q15050	Q9BTC0
Q15050	Q8TBF4
Q15050	Q9BQG0
Q15050	Q96QR8
Q15050	Q9BWF3
Q15050	Q9H7E9
Q15050	Q99848
Q15050	Q9UKV3
Q15050	Q6RFH5
Q15050	Q9P0M6
Q15050	Q9H7B2
Q9Y3U8	Q9Y446
Q9Y3U8	Q9Y478
Q9Y3U8	Q9Y4K3
Q9NWT1	Q9UGY1
Q9NWT1	Q9P258
Q9NWT1	Q9UL18
Q9NR30	Q9P2D0
Q9NR30	Q9Y2X3
Q9NR30	Q9NZC7
Q9NR30	Q9UQ80
Q9NR30	Q9UQ35
Q9NR30	Q9Y6Y0
Q9NR30	Q9Y2W1
Q9NR30	Q9P127
Q9NR30	Q9UPE1
Q9NR30	Q9Y5B9
Q9NR30	Q9Y4K3
