Sample	custom_content_topology-nodes	custom_content_topology-edges	custom_content_topology-seeds	custom_content_topology-diameter	custom_content_topology-components	custom_content_topology-largest_component	custom_content_topology-max_dist_to_seed	custom_content_topology-isolated_nodes
background_control.amygdala.diamond	603	16092	403	6.0	24	580	1	23
background_control.amygdala.domino	247	855	85	8.0	1	247	1	0
background_control.amygdala.firstneighbor	8270	199895	403	5.0	1	8270	1	0
background_control.amygdala.no_tool	403	2871	403	6.0	42	361	0	40
background_control.amygdala.robust	594	792	403	14.0	2	593	1	1
background_control.amygdala.robust_bias_aware	593	779	403	17.0	3	591	1	2
background_control.amygdala.rwr	760	19169	403	6.0	1	760	1	0
background_control.brain.diamond	612	16054	412	6.0	27	586	1	26
background_control.brain.domino	346	1548	114	6.0	1	346	1	0
background_control.brain.firstneighbor	8369	203493	412	6.0	1	8369	1	0
background_control.brain.no_tool	412	2835	412	6.0	45	367	0	43
background_control.brain.robust	595	783	412	14.0	3	592	1	1
background_control.brain.robust_bias_aware	596	781	412	21.0	4	592	1	2
background_control.brain.rwr	747	18103	412	5.0	1	747	1	0
background_control.dorsal_root_ganglia.diamond	615	16234	415	6.0	26	590	1	25
background_control.dorsal_root_ganglia.domino	363	1550	125	9.0	1	363	1	0
background_control.dorsal_root_ganglia.firstneighbor	8522	211975	415	5.0	1	8522	1	0
background_control.dorsal_root_ganglia.no_tool	415	2870	415	6.0	46	369	0	44
background_control.dorsal_root_ganglia.robust	592	773	415	19.0	6	586	1	4
background_control.dorsal_root_ganglia.robust_bias_aware	596	792	415	16.0	4	593	1	3
background_control.dorsal_root_ganglia.rwr	787	20357	415	6.0	1	787	1	0
background_control.hypothalamus.diamond	606	16028	406	6.0	26	581	1	25
background_control.hypothalamus.domino	469	2272	135	6.0	1	469	1	0
background_control.hypothalamus.firstneighbor	8268	201354	406	6.0	1	8268	1	0
background_control.hypothalamus.no_tool	406	2826	406	6.0	44	362	0	42
background_control.hypothalamus.robust	578	751	406	16.0	5	573	1	3
background_control.hypothalamus.robust_bias_aware	582	751	406	17.0	4	578	1	2
background_control.hypothalamus.rwr	758	19049	406	5.0	1	758	1	0
background_control.salivary_gland.diamond	613	16091	413	6.0	27	587	1	26
background_control.salivary_gland.domino	447	2345	123	6.0	1	447	1	0
background_control.salivary_gland.firstneighbor	8390	207266	413	6.0	1	8390	1	0
background_control.salivary_gland.no_tool	413	2902	413	6.0	45	368	0	43
background_control.salivary_gland.robust	592	790	413	15.0	5	587	1	3
background_control.salivary_gland.robust_bias_aware	591	790	413	17.0	3	589	1	2
background_control.salivary_gland.rwr	844	22437	413	6.0	1	844	1	0
background_control.uniprot_ppi.diamond	702	18941	502	5.0	38	665	1	37
background_control.uniprot_ppi.domino	591	3048	171	7.0	1	591	1	0
background_control.uniprot_ppi.firstneighbor	11377	285536	502	5.0	1	11377	1	0
background_control.uniprot_ppi.no_tool	502	3671	502	8.0	57	445	0	55
background_control.uniprot_ppi.robust	707	923	502	17.0	7	701	1	6
background_control.uniprot_ppi.robust_bias_aware	706	913	502	17.0	5	702	1	4
background_control.uniprot_ppi.rwr	1040	30332	502	6.0	1	1040	1	0
