sample	nodes	edges	seeds	max_dist_to_seed	diameter	components	largest_component	isolated_nodes
background_control.hypothalamus.firstneighbor	8268	201354	406	1	6.0	1	8268	0
background_control.dorsal_root_ganglia.diamond	615	16234	415	1	6.0	26	590	25
background_control.salivary_gland.robust_bias_aware	591	770	413	1	20.0	5	586	3
background_control.uniprot_ppi.robust_bias_aware	707	921	502	1	17.0	7	701	6
background_control.hypothalamus.robust	581	761	406	1	17.0	4	577	2
background_control.dorsal_root_ganglia.domino	352	1539	121	1	7.0	1	352	0
background_control.salivary_gland.robust	592	776	413	1	20.0	5	587	3
background_control.salivary_gland.firstneighbor	8390	207266	413	1	6.0	1	8390	0
background_control.salivary_gland.rwr	844	22437	413	1	6.0	1	844	0
background_control.dorsal_root_ganglia.robust	596	766	415	1	15.0	7	589	5
background_control.hypothalamus.rwr	758	19049	406	1	5.0	1	758	0
background_control.amygdala.diamond	603	16092	403	1	6.0	24	580	23
background_control.dorsal_root_ganglia.firstneighbor	8522	211975	415	1	5.0	1	8522	0
background_control.uniprot_ppi.firstneighbor	11377	285536	502	1	5.0	1	11377	0
background_control.amygdala.robust_bias_aware	595	790	403	1	21.0	3	593	2
background_control.hypothalamus.diamond	606	16028	406	1	6.0	26	581	25
background_control.dorsal_root_ganglia.rwr	787	20357	415	1	6.0	1	787	0
background_control.uniprot_ppi.diamond	702	18941	502	1	5.0	38	665	37
background_control.uniprot_ppi.robust	710	942	502	1	15.0	5	706	4
background_control.hypothalamus.robust_bias_aware	580	752	406	1	15.0	4	576	2
background_control.dorsal_root_ganglia.no_tool	415	2870	415	0	6.0	46	369	44
background_control.amygdala.domino	243	778	85	1	8.0	1	243	0
background_control.amygdala.no_tool	403	2871	403	0	6.0	42	361	40
background_control.salivary_gland.diamond	613	16091	413	1	6.0	27	587	26
background_control.uniprot_ppi.rwr	1040	30332	502	1	6.0	1	1040	0
background_control.brain.domino	341	1451	114	1	7.0	1	341	0
background_control.brain.robust_bias_aware	598	780	412	1	17.0	3	596	2
background_control.amygdala.rwr	760	19169	403	1	6.0	1	760	0
background_control.amygdala.firstneighbor	8270	199895	403	1	5.0	1	8270	0
background_control.amygdala.robust	594	792	403	1	21.0	3	592	2
background_control.salivary_gland.domino	432	2321	119	1	7.0	1	432	0
background_control.brain.diamond	612	16054	412	1	6.0	27	586	26
background_control.hypothalamus.no_tool	406	2826	406	0	6.0	44	362	42
background_control.uniprot_ppi.domino	592	3117	171	1	7.0	1	592	0
background_control.uniprot_ppi.no_tool	502	3671	502	0	8.0	57	445	55
background_control.brain.firstneighbor	8369	203493	412	1	6.0	1	8369	0
background_control.brain.rwr	747	18103	412	1	5.0	1	747	0
background_control.brain.no_tool	412	2835	412	0	6.0	45	367	43
background_control.hypothalamus.domino	463	2155	135	1	6.0	1	463	0
background_control.dorsal_root_ganglia.robust_bias_aware	599	789	415	1	22.0	5	594	3
background_control.salivary_gland.no_tool	413	2902	413	0	6.0	45	368	43
background_control.brain.robust	596	795	412	1	15.0	3	594	2
