Sample	custom_content_topology-nodes	custom_content_topology-edges	custom_content_topology-seeds	custom_content_topology-diameter	custom_content_topology-components	custom_content_topology-largest_component	custom_content_topology-max_dist_to_seed	custom_content_topology-isolated_nodes
Virion_Components.amygdala.diamond	245	3721	45	4.0	6	240	2	5
Virion_Components.amygdala.domino	42	84	17	7.0	1	42	1	0
Virion_Components.amygdala.firstneighbor	3215	89747	45	5.0	1	3215	1	0
Virion_Components.amygdala.no_tool	45	61	45	0	17	28	0	15
Virion_Components.amygdala.robust	98	153	45	8.0	2	97	1	1
Virion_Components.amygdala.robust_bias_aware	96	146	45	7.0	4	93	1	3
Virion_Components.amygdala.rwr	96	747	45	5.0	1	96	1	0
Virion_Components.brain.diamond	246	3591	46	4.0	7	240	2	6
Virion_Components.brain.domino	36	85	16	7.0	1	36	1	0
Virion_Components.brain.firstneighbor	3256	91068	46	5.0	1	3256	1	0
Virion_Components.brain.no_tool	46	61	46	0	18	28	0	16
Virion_Components.brain.robust	98	152	46	8.0	4	95	1	3
Virion_Components.brain.robust_bias_aware	99	150	46	7.0	3	97	1	2
Virion_Components.brain.rwr	95	610	46	6.0	1	95	1	0
Virion_Components.dorsal_root_ganglia.diamond	245	3953	45	4.0	6	240	2	5
Virion_Components.dorsal_root_ganglia.domino	49	102	23	8.0	1	49	1	0
Virion_Components.dorsal_root_ganglia.firstneighbor	3293	95171	45	5.0	1	3293	1	0
Virion_Components.dorsal_root_ganglia.no_tool	45	61	45	0	17	28	0	15
Virion_Components.dorsal_root_ganglia.robust	94	143	45	9.0	3	92	1	2
Virion_Components.dorsal_root_ganglia.robust_bias_aware	94	142	45	8.0	3	92	1	2
Virion_Components.dorsal_root_ganglia.rwr	78	436	45	5.0	1	78	1	0
Virion_Components.hypothalamus.diamond	247	3470	47	4.0	9	239	2	8
Virion_Components.hypothalamus.domino	58	113	27	9.0	1	58	1	0
Virion_Components.hypothalamus.firstneighbor	3232	90492	47	5.0	1	3232	1	0
Virion_Components.hypothalamus.no_tool	47	61	47	0	19	28	0	17
Virion_Components.hypothalamus.robust	99	145	47	8.0	4	96	1	3
Virion_Components.hypothalamus.robust_bias_aware	99	149	47	8.0	5	95	1	4
Virion_Components.hypothalamus.rwr	89	503	47	5.0	1	89	1	0
Virion_Components.salivary_gland.diamond	246	3741	46	4.0	7	240	2	6
Virion_Components.salivary_gland.domino	45	105	20	6.0	1	45	1	0
Virion_Components.salivary_gland.firstneighbor	3289	94002	46	5.0	1	3289	1	0
Virion_Components.salivary_gland.no_tool	46	61	46	0	18	28	0	16
Virion_Components.salivary_gland.robust	98	142	46	9.0	3	96	1	2
Virion_Components.salivary_gland.robust_bias_aware	98	148	46	7.0	2	97	1	1
Virion_Components.salivary_gland.rwr	99	680	46	6.0	1	99	1	0
Virion_Components.uniprot_ppi.diamond	250	4201	50	4.0	9	242	2	8
Virion_Components.uniprot_ppi.domino	57	93	23	15.0	1	57	1	0
Virion_Components.uniprot_ppi.firstneighbor	3994	120266	50	5.0	1	3994	1	0
Virion_Components.uniprot_ppi.no_tool	50	62	50	0	21	29	0	19
Virion_Components.uniprot_ppi.robust	108	161	50	10.0	3	106	1	2
Virion_Components.uniprot_ppi.robust_bias_aware	108	156	50	9.0	3	106	1	2
Virion_Components.uniprot_ppi.rwr	87	441	50	6.0	1	87	1	0
