source	target
Q99873	Q9UBU9
Q99873	Q9NQC7
Q99873	Q9HCE1
Q9UBU9	Q9Y5S9
Q9UKB1	Q9Y3Q8
Q9HCE1	Q9UKB1
Q9NQC7	Q9UBQ5
O95817	P12830
O95817	P27348
O95817	P05161
O95817	P01241
O95817	Q9UKB1
O95817	Q9UBU9
O95817	Q13620
O95817	Q53RE8
P12830	Q9H2H9
P12830	Q6IQ23
P12830	Q92793
P12830	P68400
P12830	Q9BRK4
P12830	Q9NQC3
P12830	Q15223
P27348	Q9NQC7
P27348	Q15772
P27348	Q13617
P27348	P32121
P27348	P68400
P27348	Q6IQ23
P27348	P34947
P27348	Q9NRR5
P27348	Q13618
P27348	Q14999
P27348	Q15717
P05161	P26038
P05161	Q9NRP0
P05161	Q15717
P05161	P68400
P05161	Q9NQC3
P01241	Q13617
P01241	Q8WUH6
Q13620	Q53RE8
Q13620	Q9UBU9
Q13620	Q96SW2
Q13620	Q15717
P62987	Q9H2H9
P62987	Q9UKV8
P62987	Q15717
P62987	Q9UKB1
P62987	Q9NQC7
P62987	Q96SW2
P62987	Q92793
P62987	Q86VN1
P62987	Q96FQ6
P62987	Q6IQ23
Q14999	Q15717
Q14999	Q969H0
Q14999	Q9BX68
Q14999	Q9HCD5
Q14999	Q99873
Q13618	Q9UKV8
Q13618	Q9UBU9
Q13618	Q9HCE1
Q13618	Q15369
Q13618	Q15717
Q13618	Q13620
Q13618	Q99873
Q13618	Q53RE8
Q6IQ23	Q99873
Q6IQ23	Q9UKV8
Q6IQ23	Q9HCE1
Q6IQ23	Q9NZL4
P68400	Q92793
P68400	Q16666
P68400	Q15717
P68400	Q6IQ23
P68400	Q9UBU9
P68400	Q14999
P02751	P26038
P02751	P68400
P02751	P54920
P02751	Q9UBQ5
P02751	P49721
P02751	Q99873
P02751	Q15717
P02751	P0CG48
P02751	P12268
P02751	P27348
P02751	P05067
P02751	Q9NRS6
P02751	P11021
P02751	Q9BUL8
Q9H2H9	Q9NRP0
Q13617	Q9UKV8
Q13617	Q9HCE1
Q13617	Q53RE8
Q13617	Q13618
Q13617	Q99873
Q13617	Q9UBU9
Q13617	Q13620
Q13617	Q15369
Q13617	Q15717
P54920	Q9NQC3
P54920	Q6IQ23
P0CG48	P32121
P0CG48	Q14999
P0CG48	Q9UKV8
P0CG48	P16871
P0CG48	Q9UBU9
P0CG48	Q86VN1
P0CG48	Q15369
P0CG48	P62987
