source	target
P62633	Q99729
P62633	P62906
P62633	Q08211
P62633	Q9NZI8
P62633	Q02543
P62633	Q15050
P62633	Q9Y3U8
P62633	Q9NR30
P62633	P68431
P62633	Q13310
P62633	Q9UNX3
P62633	P62910
P62633	P62750
P62633	Q07020
P62633	Q99496
P62633	Q02878
P62633	P62899
P62633	P62854
P62633	Q504Q3
P62633	P62888
P62633	P62913
P62633	P62917
P62633	Q99848
P62633	Q13247
P62633	Q8TDN6
P62633	P83731
P62633	P62753
Q99729	Q9GZQ8
Q99729	Q9NZI8
Q99729	Q9H0R8
Q99729	Q9H492
Q99729	Q9HCE1
Q99729	Q9NQC7
P62906	Q00839
P62906	P84098
P62906	Q9NQC7
P62906	P62979
P62906	Q93034
P62906	Q92905
P62906	Q9H0R8
P62906	P63104
P62906	Q7Z6Z7
P62906	Q96L21
P62906	Q86VP6
P62906	Q9NRC8
P62906	P68104
P62906	P83731
P62906	P62913
P62906	Q99496
P62906	Q02878
P62906	Q71UM5
P62906	Q6NUN9
P62906	Q8TDN6
P62906	Q13619
P62906	Q12905
P62906	Q9H0W5
P62906	Q07020
P62906	Q9Y3U8
P62906	P62917
P62906	Q13618
P62906	Q12906
P62906	Q13148
P62906	Q9UQL6
P62906	Q9UBX2
P62906	Q99558
P62906	Q8NHW5
P62906	Q9BV73
P62906	Q5QNW6
P62906	Q504Q3
P62906	Q02543
P62906	P63173
P62906	Q14999
P62906	Q14258
P62906	P68371
P62906	Q9UKV8
P62906	Q13616
P62906	Q15050
P62906	Q9UNX3
P62906	Q14872
P62906	Q15843
P62906	P62910
P62906	P63220
P62906	Q86VM9
Q08211	Q99459
Q08211	Q9H0W5
Q08211	Q92905
Q08211	Q9H492
Q08211	Q9H0R8
Q08211	Q92841
Q08211	Q9NZI8
Q08211	Q86VP6
Q08211	Q99558
Q08211	Q12905
Q08211	Q9UBS0
Q08211	Q71U36
Q08211	Q13617
Q08211	Q9UBX2
Q08211	Q14999
Q08211	Q15843
Q08211	Q14258
Q08211	Q9NRD1
Q08211	Q9NX58
Q08211	Q9BV73
Q08211	Q9UL18
Q08211	Q504Q3
Q08211	Q12906
Q08211	Q9NR30
Q08211	Q99496
Q08211	Q9UQ35
Q08211	Q9UNX3
Q08211	Q86V81
Q08211	Q13619
Q08211	Q13573
Q08211	Q6NUN9
Q08211	Q9NQC7
Q08211	Q13151
Q08211	Q9UKV8
Q08211	Q15050
Q08211	Q13616
Q08211	Q9GZQ8
Q08211	Q14872
Q08211	Q9HCE1
Q08211	Q92499
Q08211	Q13620
Q08211	Q93034
Q08211	Q9UQL6
Q08211	Q13148
Q08211	Q13618
Q9NZI8	Q9UQL6
Q9NZI8	Q9UBS0
Q9NZI8	Q9UKV8
Q9NZI8	Q9UL18
Q9NZI8	Q9UBX2
Q02543	Q12906
Q02543	Q504Q3
Q02543	Q9BQG0
Q02543	Q07020
Q02543	Q15050
Q02543	Q9NQC7
Q02543	Q8TDN6
Q02543	Q9BV73
Q02543	Q9Y3U8
Q02543	Q99496
Q02543	Q86VM9
Q02543	Q9UKV8
Q02543	Q86VP6
Q02543	Q9UL18
Q02543	Q14872
Q02543	Q9NX58
Q02543	Q9NVP1
Q02543	Q02878
Q02543	Q14258
Q02543	Q9BVP2
Q02543	Q9H492
Q02543	Q9NRC8
Q02543	Q99848
Q02543	Q96L21
Q02543	Q92905
Q02543	Q8NHW5
Q02543	Q13310
Q02543	Q13616
Q02543	Q13148
Q15050	Q9BVP2
Q15050	Q92624
Q15050	Q9NRC8
Q15050	Q9NX58
Q15050	Q9NR30
Q15050	Q16666
Q15050	Q9NZI8
Q15050	Q16777
Q15050	Q9NVP1
Q15050	Q9BQG0
Q15050	Q8TDN6
Q15050	Q9HCE1
Q15050	Q99848
Q9NR30	Q9UQ35
Q9NR30	Q9UBX2
Q9NR30	Q9NX58
Q9NR30	Q9NRD1
Q9NR30	Q9NRC8
P68431	Q9NR30
P68431	Q9Y3U8
P68431	P84098
P68431	Q12906
P68431	Q13619
P68431	Q8N257
P68431	Q969P0
P68431	Q16777
P68431	Q6FI13
P68431	Q9UQL6
P68431	Q9NRC8
P68431	Q16778
P68431	Q9UQ35
P68431	Q8NC51
P68431	P83731
Q13310	Q13620
Q13310	Q9H0W5
Q13310	Q93034
Q13310	Q13618
Q13310	Q86VP6
Q13310	Q13619
Q13310	Q9NRC8
Q13310	Q86V81
Q13310	Q9UBX2
Q13310	Q13617
Q13310	Q92905
Q13310	Q8WWM7
Q13310	Q99496
Q13310	Q8TDN6
Q13310	Q504Q3
Q13310	Q14999
Q13310	Q9H0R8
Q13310	Q6NUN9
Q13310	Q14258
Q13310	Q9NQC7
Q13310	Q16666
Q13310	Q13616
Q9UNX3	Q9Y3U8
P62910	Q07020
P62910	Q86VM9
P62910	Q92905
P62910	Q9NQC7
P62910	Q99496
P62910	Q15050
P62910	Q00839
P62910	Q99558
P62910	P84098
P62910	Q02543
P62910	Q86V81
P62910	Q504Q3
P62910	Q9NRD1
P62910	Q8NHW5
P62910	Q9UNX3
P62910	P62917
P62910	Q02878
P62910	P83731
P62910	P68431
P62910	Q14258
P62910	Q12906
P62910	Q9NX58
P62910	Q13148
P62910	Q13616
P62910	Q86VP6
P62910	P62913
P62750	Q5TC82
P62750	Q71UM5
P62750	P62854
P62750	Q13617
P62750	P63220
P62750	Q8NHW5
P62750	Q12905
P62750	P83731
P62750	Q12906
P62750	P62910
P62750	P62841
P62750	P84098
P62750	Q86VP6
P62750	P62753
P62750	Q9GZQ8
P62750	Q96L21
P62750	Q93034
P62750	Q14999
P62750	Q13620
P62750	P62913
P62750	Q86VM9
P62750	Q9NQC7
P62750	Q9Y3U8
P62750	P62857
P62750	P62899
P62750	Q13148
P62750	Q92905
P62750	Q02878
P62750	P62979
P62750	P62829
P62750	P62993
P62750	Q9H0R8
P62750	Q9UBX2
P62750	Q13618
P62750	Q13619
P62750	Q9NX58
P62750	Q13616
P62750	P63173
P62750	Q02543
P62750	P62851
P62750	Q15843
P62750	Q9BQG0
P62750	P62847
P62750	Q9UBS0
P62750	Q9UL18
P62750	Q9UKV8
P62750	Q13573
P62750	Q15050
P62750	Q14258
P62750	Q969P0
P62750	P67809
P62750	Q9BV73
P62750	Q07020
P62750	P62888
P62750	P62937
P62750	P62917
P62750	Q9NRC8
P62750	Q504Q3
P62750	P68104
P62750	P62906
P62750	Q14872
P62750	Q99496
P62750	Q00839
Q07020	Q9BVP2
Q07020	Q969P0
Q07020	Q71UM5
Q07020	Q9BQG0
Q07020	Q13618
Q07020	Q99558
Q07020	Q14999
Q07020	Q12905
Q07020	Q9H0W5
Q07020	Q96L21
Q07020	Q9NRD1
Q07020	Q14258
Q07020	Q15050
Q07020	Q15843
Q07020	Q92905
Q07020	Q13310
Q07020	Q5TC82
Q07020	Q9BV73
Q07020	Q9UNX3
Q07020	Q9H0R8
Q07020	Q9UBX2
Q07020	Q504Q3
Q07020	Q9H492
Q07020	Q8TDN6
Q07020	Q13617
Q07020	Q8NHW5
Q07020	Q86VP6
Q07020	Q9UL18
Q07020	Q93034
Q07020	Q9Y3U8
Q07020	Q13616
Q07020	Q86VM9
Q07020	Q6NUN9
Q07020	Q7Z6Z7
Q07020	Q12906
Q07020	Q9NVP1
Q07020	Q9UKV8
Q07020	Q9NQC7
Q07020	Q13620
Q07020	Q99848
Q99496	Q9NX58
Q99496	Q99729
Q99496	Q9BQG0
Q99496	Q9BVP2
Q99496	Q9Y3U8
Q99496	Q9HCE1
Q99496	Q9GZV8
Q99496	Q9NVP1
Q99496	Q99623
Q02878	Q92905
Q02878	Q08211
Q02878	Q9NQC7
Q02878	Q9NRD1
Q02878	Q15050
Q02878	Q7Z6Z7
Q02878	Q86VP6
Q02878	Q6NUN9
Q02878	Q86VM9
Q02878	Q8TDN6
Q02878	Q13620
Q02878	Q9H0R8
Q02878	Q9NRC8
Q02878	Q99558
Q02878	Q969P0
Q02878	Q12905
Q02878	Q12906
Q02878	Q9UQ35
Q02878	Q71UM5
Q02878	Q99496
Q02878	Q13616
Q02878	Q9Y3U8
Q02878	Q99848
Q02878	Q9UNX3
Q02878	Q9NR30
Q02878	Q13618
Q02878	Q9BVP2
Q02878	Q13148
Q02878	Q9UBX2
Q02878	Q8NHW5
Q02878	Q9H492
Q02878	Q9H0W5
Q02878	Q13617
Q02878	Q07020
Q02878	Q93034
Q02878	Q15843
Q02878	Q14258
Q02878	Q9UL18
Q02878	Q9BQG0
Q02878	Q9BV73
Q02878	Q9UKV8
